registration,association_name,address,type,registration_status,enforcement_status,reg_date
CR23002526,"POINT EAST TWO CONDOMINIUM CORPORATION, INC.",2895 POINT EAST DR. AVENTURA FL 33160,Condominium,Issued,No,01-31-2027
CR23002527,KENDALL LAKES EAST LAKEVIEW TOWNHOME CONDOMINIUM ASSOCIATION INC.,13424 SW 62 ST MIAMI FL 33183,Condominium,Issued,No,01-31-2027
CR23002528,"5900 COLLINS AVENUE CONDOMINIUM ASSOCIATION, INC.",5900 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002529,"MARQUIS MIAMI CONDOMINIUM ASSOCIATION, INC",1100 BISCAYNE BLVD MIAMI FL 33132,Condominium,Issued,No,01-31-2027
CR23002530,"POINCIANA SUNSET HOMEOWNERS ASSOCIATION, INC.",13595 SW 134 AVE MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002531,"AVENTURA LAKES HOMEOWNERS' ASSOCIATION, INC.",3100 NE 210 STREET AVENTURA FL 33180,Homeowner,Issued,No,01-31-2027
CR23002532,"CAPRI AT THE OASIS NEIGHBORHOOD ASSOCIATION, INC.",171 NE 30 RD MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002534,"BROADWATER BEACH ARMS, III, INC.",6498 COLLINS AVE MIAMI BEACH FLA 33141,Cooperative,Issued,No,01-31-2027
CR23002535,"AMARETTO OWNERS ASSOCIATION, INC.",11801 SW 100 TER MIAMI FLORIDA 33186,Homeowner,Expired,Yes,01-31-2026
CR23002536,"ALAQUA CONDOMINIUM ASSOCIATION, INC.",3001 NE 185TH STREET AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002537,"CENTURY GARDENS HOMEOWNERS ASSOCIATION, INC.",11840 SW 155 CT MIAMI FLORIDA 33196,Homeowner,Issued,No,01-31-2027
CR23002538,"TERRAZAS DEL SOL CONDOMINIUM ASSOCIATION, INC.",5901 NW 151 STREET SUITE 100 MIAMI LAKES FLORIDA 33014,Condominium,Issued,No,01-31-2027
CR23002539,"THE CRIMSON CONDOMINIUM ASSOCIATION, INC.",601 NE 27TH ST MIAMI FLORIDA 33137,Condominium,Issued,No,01-31-2027
CR23002540,"FIFTH FORUM CONDOMINIUM CORP., INC.",1302 NE 191 STREET NORTH MIAMI BEACH FL 33179,Condominium,Issued,No,01-31-2027
CR23002541,"NEOVITA DORAL TOWNHOMES COMMUNITY ASSOCIATION, INC.",7201 NW 102 PLACE DORAL FLORIDA 33178,Homeowner,Issued,No,01-31-2027
CR23002542,"JEFFERSON PARK, INC., A CONDOMINIUM",1498 JEFFERSON AVE MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002544,"MAREA CONDOMINIUM ASSOCIATION, INC.",801 SOUTH POINTE DRIVE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002545,"ENCLAVE AT DORAL CONDOMINIUM NO. 1 ASSOCIATION, INC.",4300 NW 107 AVE DORAL FLORIDA 33178,Condominium,Issued,No,01-31-2027
CR23002546,"ROLLING GREEN CONDOMINIUM F, INC.",1301 NE 191 STREET MIAMI LAKES FLORIDA 33014,Condominium,Issued,No,01-31-2027
CR23002547,"ENCLAVE AT DORAL CONDOMINIUM NO 2 ASSOCIATION, INC",4300 NW 107TH AVENUE DORAL FLORIDA 33178,Condominium,Issued,No,01-31-2027
CR23002548,"NEOVITA DORAL SINGLE FAMILY RESIDENCES COMMUNITY ASSOCIATION, INC.",6801 NW 103 AVE DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002550,"SOUTH CARILLON BEACH CONDOMINIUM ASSOCIATION, INC.",6799 COLLINS AVE MIAMI BEACH FLORIDA 33141,Condominium,Issued,No,01-31-2027
CR23002553,"THE PALMS 51 CONDOMINIUM ASSOCIATION, INC.",1821- 1851 NE 168ST NORTH MIAMI BEACH FL 33162,Condominium,Issued,No,01-31-2027
CR23002554,"LAKE VILLAGE CONDOMINIUM ASSOCIATION, INC.",14111 SW 66TH ST MIAMI FL 33183,Condominium,Issued,No,01-31-2027
CR23002555,"CITE CONDOMINIUMS ASSOCIATION, INC.",2000 N BAYSHORE DRIVE MIAMI FLORIDA 33137,Condominium,Issued,No,01-31-2027
CR23002556,"ENCLAVE AT DORAL MASTER ASSOCIATION, INC.",4300 NW 107TH AVE DORAL FLORIDA 33178,Master Association,Issued,No,01-31-2027
CR23002557,"BRICKELL KEY II CONDOMINIUM ASSOCIATION, INC.",540 BRICKELL KEY DRIVE MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002558,CENTRAL CARILLON BEACH CONDOMINIUM ASSOCIATION INC.,6801 COLLINS AVENUE MIAMI BEACH FLORIDA 33141,Condominium,Issued,No,01-31-2027
CR23002559,"THE COLONNADE AT DADELAND S.W. CONDOMINIUM ASSOCIATION, INC.",8395 S W 73RD AVENUE MIAMI FL 33143,Condominium,Issued,No,01-31-2027
CR23002560,"ISLA BELLA I AT MEDITERRANEA PROPERTY OWNER'S ASSOCIATION, INC.",8405 SW 166 PL MIAMI FL 33193,Homeowner,Issued,No,01-31-2027
CR23002561,"CARRIAGE CLUB SOUTH CONDOMINIUM ASSOCIATION, INC.",5001 COLLINS AVENUE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002562,"LAKEWOOD TOWNHOMES VILLAS HOMEOWNERS ASSOCIATION, INC.",1434 SW 125 CT MIAMI FL 33184,Homeowner,Issued,No,01-31-2027
CR23002564,"TUSCANY POINTE VILLAS CONDOMINIUM ASSOCIATION, INC.",8430-8440 SW 8TH STREET MIAMI FL 33144,Condominium,Issued,No,01-31-2027
CR23002565,OCEANSIDE AT FISHER ISLAND CONDOMINIUM NO. 3 ASSOCIATION INC,2800 BISCAYNE BLVD MIAMI FLORIDA 33137,Condominium,Issued,No,01-31-2027
CR23002566,"LANDMARK AT DORAL CONDOMINIUM NO. 2 ASSOCIATION, INC.",10255 NW 63 TER DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002567,ASHLEY CONDOMINIUM CORPORATION,5640 COLLINS AVE MIAMI BEACH FLORIDA 33140,Condominium,Issued,No,01-31-2027
CR23002568,"MYSTIC POINTE CONDOMINIUM NO. THREE ASSOCIATION, INC.",19101 MYSTIC POINTE DRIVE AVENTURA FLORIDA 33180,Condominium,Issued,No,01-31-2027
CR23002573,"IONIAN PLAZA CONDOMINIUM, INC.",110 SALAMANCA AVE MIAMI FL 33145,Condominium,Issued,No,01-31-2027
CR23002574,"LANDMARK AT DORAL CONDOMINIUM NO. 3 ASSOCIATION, INC.",10220 63RD TERRACE DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002575,"LAKES OF THE MEADOW MASTER MAINTENANCE ASSOCIATION, INC.",4450 SW 152ND AVENUE MIAMI FL 33185,Homeowner,Issued,No,01-31-2027
CR23002577,"CENTURY PARK WEST CONDOMINIUM ASSOCIATION, INC.",220 NW 109TH AVENUE MIAMI FL 33172,Condominium,Issued,No,01-31-2027
CR23002578,"BISCAYNE BEACH SHARED FACILITIES ASSOCIATION, INC.",2900 NE 7TH AVE MIAMI FL 33137,Master Association,Issued,No,01-31-2027
CR23002580,"ST. LOUIS CONDOMINIUM ASSOCIATION, INC.",800 CLAUGHTON ISLAND DR. MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002581,"FIFTH HORIZONS CONDOMINIUM, INC.",19001 NE 14 AVE NO. MIAMI BEACH FL 33179,Condominium,Issued,No,01-31-2027
CR23002582,"CENTURY PARK CONDOMINIUM ASSOCIATION, INC.",8950 W FLAGLER ST MIAMI FL 33174,Condominium,Issued,No,01-31-2027
CR23002583,"55 MERRICK CONDOMINIUM ASSOCIATION, INC.",55 MERRICK WAY CORAL GABLES FL 33134,Condominium,Issued,No,01-31-2027
CR23002584,"CLOISTERS ON THE BAY CONDOMINIUM ASSOCIATION, INC.",3471 MAIN HIGHWAY MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002585,"LANDMARK AT DORAL CONDOMINIUM NO. 4 ASSOCIATION, INC.",6416 NW 102ND CT DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002587,"OCEANSIDE AT FISHER ISLAND CONDOMINIUM NO. FIVE ASSOCIATION, INC.",7201-7292 FISHER ISLAND DRIVE MIAMI BEACH FLORIDA 33109,Condominium,Issued,No,01-31-2027
CR23002589,"HARBORVIEW AT FISHER ISLAND CONDOMINIUM ASSOCIATION, INC",4400 - 4700 FISHER ISLAND DR MIAMI BEACH FLORIDA 33139,Condominium,Abandoned,No,
CR23002591,"THE EMERALD AT BRICKELL CONDOMINIUM ASSOCIATION, INC.","218 SE 14TH STREET, 200 MIAMI FLORIDA 33131",Condominium,Issued,No,01-31-2027
CR23002592,"ISLANDS AT DORAL MASTER ASSOCIATION, INC.",8250 NW 112TH CT MIAMI FL 33126,Master Association,Issued,No,01-31-2027
CR23002593,"BAY GARDEN MANOR CONDOMINIUM ASSOCIATION, INC.",1250 WEST AVE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002594,"BRICKELL EAST CONDOMINIUM ASSOCIATION, INC.",151 SE 15TH ROAD MIAMI FL 33129,Condominium,Expired,Yes,01-31-2026
CR23002595,"OCEANSIDE PLAZA CONDOMINIUM ASSOCIATION, INC.",5555 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002596,"VERSAILLES GARDENS I CONDO ASSOC., INC.",9401 SW 4 ST MIAMI FL 33174,Condominium,Issued,No,01-31-2027
CR23002597,"MIRASOL OCEAN TOWERS CONDOMINIUM, INC.",2655 COLLINS AVE MIAMI FL 33140,Condominium,Expired,Yes,01-31-2026
CR23002598,"THE MARSEILLES CONDOMINIUM ASSOCIATION, INC.",1225 - 1233 MARSEILLE DR MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002599,"THE METROPOLITAN CONDOMINIUM ASSOCIATION, INC.",2475 BRICKELL AVENUE MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002601,"BAYSWATER COURT CONDO ASSOCIATION, INC.",2935 N.E. 163RD STREET NO MIAMI BEACH FL 33160,Condominium,Issued,No,01-31-2027
CR23002602,LEJEUNE PLAZA CONDOMINIUM ASSOCIATION INC,215 SW 42ND AVENUE MIAMI FL 33134,Condominium,Issued,No,01-31-2027
CR23002604,"CORSICA HOMEOWNERS ASSOCIATION, INC.",SW 248TH STREET AND SW 119TH AVENUE MIAMI FL 33032,Homeowner,Issued,No,01-31-2027
CR23002605,"TAHITI BEACH HOMEOWNERS ASSOCIATION, INC.",30 TAHITI BEACH ISLAND RD CORAL GABLES FL 33143,Homeowner,Issued,No,01-31-2027
CR23002606,"CRESTVIEW HOMEOWNERS ASSOCIATION, INC.",3934 SW 8TH STREET SUITE 303 MIAMI FL 33134,Homeowner,Issued,No,01-31-2027
CR23002607,BAYVIEW AT FISHER ISLAND CONDOMINIUM NO. THREE ASSOCIATION INC,5200 FISHER ISLAND DRIVE MIAMI BEACH FL 33109,Condominium,Issued,No,01-31-2027
CR23002608,"COURTS BRICKELL KEY CONDOMINIUM ASSOCIATION, INC.","801 BRICKELL KEY BLVD., SUITE 408 MIAMI FL 33131",Condominium,Issued,No,01-31-2027
CR23002609,"BRICKELL KEY ONE CONDOMINIUM ASSOCIATION, INC.",520 BRICKELL KEY DR MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002611,"STAR LOFTS ON THE BAY CONDOMINIUM ASSOCIATION, INC.",700 NE 25TH STREET MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002612,"IOS ON THE BAY CONDOMINIUM ASSOCIATION, INC.",720 NE 62ND STREET MIAMI FL 33138,Condominium,Issued,No,01-31-2027
CR23002613,"THE ESTATES AT VILLAS DEL CAMPO HOMEOWNER'S ASSOCIATION, INC.",24551 SW 109 PLACE MIAMI FL 33032,Homeowner,Issued,No,01-31-2027
CR23002614,"LANDMARK AT DORAL CONDOMINIUM NO. 1 ASSOCIATION, INC",10260 NW 63RD TER DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002615,"ISLA BELLA II AT MEDITERRANEA PROPERTY OWNER'S ASSOCIATION, INC.",8005 SW 166 COURT MIAMI FL 33193,Homeowner,Expired,Yes,01-31-2026
CR23002616,SHOMA HOMES AT KEYS COVE CONDOMINIUM ASSOCIATION INC,1455 SE 27 ST HOMESTEAD FLORIDA 33035,Condominium,Issued,No,01-31-2027
CR23002617,"MIAMI LAKES LAKE SANDRA HOMEOWNERS' ASSOCIATION, INC.",15101 MONTROSE ROAD MIAMI LAKES FLORIDA 33016,Homeowner,Issued,No,01-31-2027
CR23002618,MYSTIC FOREST II HOMEOWNERS ASSOCIATION INC.,8118 SW 118TH PL MIAMI FL 33183,Homeowner,Issued,No,01-31-2027
CR23002620,"LAS BRISAS AT DORAL COMMUNITY ASSOCIATION, INC.",5749 NW 115TH CT DORAL FL 33178,Master Association,Issued,No,01-31-2027
CR23002621,"SUNSET HARBOUR NORTH CONDOMINIUM ASSOCIATION, INC.",1900 PURDY AVE MIAMI BEACH FL 33139,Condominium,Expired,Yes,01-31-2026
CR23002622,"BREEZE OF GALLOWAY CONDOMINIUM ASSOCIATION, INC.",21000 SW 87 AVE MIAMI FLORIDA 33186,Condominium,Expired,Yes,01-31-2026
CR23002623,"LAS BRISAS AT DORAL CONDOMINIUM NO. 1 ASSOCIATION, INC.",5749 NW 115 CT MIAMI FL 33178,Condominium,Issued,No,01-31-2027
CR23002624,"LAS BRISAS AT DORAL CONDOMINIUM NO. 6 ASSOCIATION, INC.",5749 NW 115TH CT DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002625,"ROLLING GREEN CONDOMINIUM E, INC.",1351 N.E. 191 ST MIAMI FL 33179,Condominium,Issued,No,01-31-2027
CR23002626,"WATERSIDE CONDOMINIUM ASSOCIATION, INC.",2450 NE 135 STREET NORTH MIAMI FLORIDA 33181,Condominium,Issued,No,01-31-2027
CR23002627,"THE RIVER FRONT MASTER ASSOCIATION, INC.",92 SW 3RD STREET MIAMI FL 33130,Master Association,Issued,No,01-31-2027
CR23002628,"KENDALL GROVE HOMEOWNERS' ASSOCIATION, INC.",89-91 LN SW 108 AVE (INTERSECTION) MIAMI FL 33196,Homeowner,Issued,No,01-31-2027
CR23002629,"ST. MORITZ AT DORAL HOMEOWNERS ASSOCIATION, INC.",11501 NW 89 ST DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002630,"TARA HOMEOWNERS' ASSOCIATION, INC.",7808 SW 88 TER MIAMI FL 33156,Homeowner,Issued,No,01-31-2027
CR23002632,"KENDALL GREENS CONDOMINIUM ASSOCIATION, INC.",8500 SW 150 AVE MIAMI FLORIDA 33186,Condominium,Expired,Yes,01-31-2026
CR23002633,"CENTURY GARDENS VILLAGE HOMEOWNERS ASSOCIATION, INC.",8990 SW 152ND PATH MIAMI FL 33196,Homeowner,Issued,No,01-31-2027
CR23002634,"5100 BAYVIEW AT FISHER ISLAND CONDOMINIUM ASSOCIATION, INC",5100 AT FISHER ISLAND DRIVE MIAMI BEACH FL 33109,Condominium,Issued,No,01-31-2027
CR23002635,"MARTINIQUE AT THE OASIS NEIGHBORHOOD ASSOCIATION, INC.",3201 MEDITERRANEAN BLVD HOMESTEAD FL 33033,Homeowner,Issued,No,01-31-2027
CR23002636,"MEDITERRANEA (MIAMI) CONDOMINIUM ASSOCIATION, INC",117 NW 42 AVE MIAMI FL 33126,Condominium,Issued,No,01-31-2027
CR23002637,HIDDEN OAKS,11900 SW 80TH AVENUE MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002638,"MIDTOWN DORAL MASTER ASSOCIATION, INC.",7751 NW 107 AVE DORAL FL 33178,Master Association,Issued,No,01-31-2027
CR23002639,"MILAN BY LENNAR HOMEOWNERS ASSOCIATION, INC.",10284 NW 32ND TER DORAL FL 33172,Homeowner,Issued,No,01-31-2027
CR23002640,ATLANTIC II AT THE POINT CONDO ASSN INC,21150 POINT PLACE AVENTURA FL 33180,Condominium,Abandoned,No,
CR23002642,"POINCIANA GARDENS HOMEOWNERS ASSOCIATION, INC.",7261 SW 120TH AVE MIAMI FL 33183,Homeowner,Issued,No,01-31-2027
CR23002643,"SECRET GARDENS AT MIDWAY CONDOMINIUM ASSOCIATION, INC.",9786 NW 10TH ST MIAMI FL 33172,Condominium,Issued,No,01-31-2027
CR23002644,"PELICAN'S COVE HOMEOWNERS ASSOCIATION, INC.",13595 SW 134 AVE MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002646,"THE SOVEREIGNS CONDOMINIUM, INC.",6851 SW 147TH AVE MIAMI FL 33193,Condominium,Issued,No,01-31-2027
CR23002647,"TROPICAL MANOR CONDOMINIUM ASSOCIATION, INC.",3905 SW 78TH CT MIAMI FL 33155,Condominium,Issued,No,01-31-2027
CR23002648,"FIJI CONDOMINIUM NO. 3 ASSOCIATION, INC.",171 NE 30 RD MIAMI FL 33186,Condominium,Issued,No,01-31-2027
CR23002649,"THE GABLES CONDOMINIUM AND CLUB ASSOCIATION, INC.",10 EDGEWATER DRIVE MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002650,"HILLTOP CONDOMINIUM , INC.",8941 SW 62 TER MIAMI FL 33186,Condominium,Issued,No,01-31-2027
CR23002651,"LES CHALETS II AT INTERNATIONAL PARK HOMEOWNERS MAINTENANCE ASSOCIATION, INC.",18 STREET 123 AVENUE MIAMI FL 33175,Homeowner,Issued,No,01-31-2027
CR23002652,"CORAL WAY TOWER CONDOMINIUM ASSOCIATION, INC.",2950 SW 3RD AVE #2D MIAMI FL 33129-2734,Condominium,Issued,No,01-31-2027
CR23002653,"BAY VIEW EAST CONDOMINIUM ASSOCIATION, INC.",8600 BYRON AVENUE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002654,"EDEN ISLES CONDOMINIUMS, INC.",12964 SW 133RD CT MIAMI FL 33186,Condominium,Issued,No,01-31-2027
CR23002656,"MARINA VILLAGE CONDOMINIUM ASSOCIATION, INC.",40304 FISHER ISLAND DR MIAMI FL 33109,Condominium,Issued,No,01-31-2027
CR23002658,"DOWNTOWN DADELAND MASTER ASSOCIATION, INC.","9010 SW 72ND COURT, E150D MIAMI FL 33156",Master Association,Issued,No,01-31-2027
CR23002659,"MARINA VILLAGE AT FISHER ISLAND CONDO NO.2 ASS,INC",40306 FISHER ISLAND DR MIAMI FL 33109,Condominium,Issued,No,01-31-2027
CR23002660,"CUTLER OAKS ESTATES HOMEOWNER'S ASSOCIATION, INC.",660 DESTACADA AVE CORAL GABLES FL 33156,Homeowner,Issued,No,01-31-2027
CR23002661,MARINA VILLAGE CONDOMINIUM NO. THREE ASSOCIATION INC,40306 FISHER ISLAND DRIVE MIAMI FL 33109,Condominium,Closed,No,01-31-2025
CR23002663,"WEST BAY PLAZA CONDOMINIUM ASSOCIATION, INC.",1688 WEST AVE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002664,"BRIARWINDS CONDOMINIUM ASSOCIATION, INC.",9000 SW 152 ST MIAMI FLORIDA 33157,Condominium,Issued,No,01-31-2027
CR23002665,"WESTHAVEN AT 23RD COURT CONDOMINIUM ASSOCIATION, INC.",2721 NW 23 CT MIAMI LAKES FLORIDA 33014,Condominium,Issued,No,01-31-2027
CR23002666,"THE LANDMAK CLUB CONDOMINIUM ASSOCIATION, INC.",20185 EAST COUNTRY AVENTURA FL 33180,Condominium,Issued,No,01-31-2027
CR23002667,EL CONQUISTADOR SOUTH CONDO,14160 SW 86 ST MIAMI FLORIDA 33183,Condominium,Issued,No,01-31-2027
CR23002668,"ISLA MARGARITA AT DORAL HOMEOWNERS ASSOCIATION, INC.",NW 116TH COURT AND 82 STREET CORAL GABLES FL 33134,Homeowner,Issued,No,01-31-2027
CR23002670,"VILLA CASTILLO HOMEOWNER'S ASSOCIATION, INC.",9000 SW 152 ST MIAMI FL 33157,Homeowner,Issued,No,01-31-2027
CR23002671,"KENDALL KINGDOM HOMEOWNER'S ASSOCIATION, INC.",10691 N.KENDALL DRIVE SUITE 206 MISMI FLORIDA 33176,Homeowner,Issued,No,01-31-2027
CR23002672,"BAY HOUSE MIAMI CONDOMINIUM ASSOCIATION, INC.",600 NE 27TH ST MIAMI FLORIDA 33137,Condominium,Issued,No,01-31-2027
CR23002673,"SANTA MARIA ON BRICKELL CONDOMINIUM ASSOCIATION, INC.",1643 BRICKELL AVE MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002675,"BAYVIEW AT FISHER ISLAND CONDOMINIUM NO. TWO ASSOCIATION, INC",5300 FISHER ISLAND DRIVE MIAMI BEACH FLORIDA 33109,Condominium,Abandoned,No,
CR23002676,"EL CONQUISTADOR CONDOMINIUMS ASSOCIATION, INC.","14160 SW 86 ST MIAMI, FL FL 33183",Condominium,Issued,No,01-31-2027
CR23002677,"DIMENSIONS AT DORAL HOMEOWNERS' ASSOCIATION, INC.",4852 NW 114 AVE DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002678,"5300 PASEO CONDOMINIUM ASSOCIATION, INC.",5300 NW 85 AVE DORAL FLORIDA 33166,Condominium,Issued,No,01-31-2027
CR23002679,"THE CLUB AT BRICKELL BAY PLAZA CONDOMINIUM ASSOCIATION, INC.",1200 BRICKELL BAY DR MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002680,"MIRAGE AT OASIS COMMUNITY ASSOCIATION, INC.",282 NE 33 TER MIAMI FL 33033,Homeowner,Issued,No,01-31-2027
CR23002681,"MYSTIC FOREST HOMEOWNERS ASSOC.,INC.",11901 SW 81ST LANE MIAMI FL 33183,Homeowner,Issued,No,01-31-2027
CR23002682,"MARSEILLES DECO CONDOMINIUM ASSOCIATION, INC.",1239-1285 MARSEILLE DRIVE MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002683,"LAS BRISAS AT DORAL CONDOMINIUM NO. 3 ASSOCIATION, INC.",5749 NW 115TH CT DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002684,"LEEWARD AT ISLANDS AT DORAL CONDOMINIUM ASSOCIATION, INC.",8311 NW 107 CT DORAL FL 33178,Condominium,Issued,No,01-31-2027
CR23002687,"PALMETTO FAIRWAY CONDOMINIUM ASSOCIATION, INC.",15888 SW 95TH AVE MIAMI FL 33157,Condominium,Issued,No,01-31-2027
CR23002688,PENINSULA ASSOCIATION INC.,1300/1350 SW 122ND AVE MIAMI FL 33184,Condominium,Issued,No,01-31-2027
CR23002689,"MARBELLA PARK WEST HOMEOWNERS' ASSOCIATION, INC.",8610 NW 197TH TERRACE MIAMI LAKES FLORIDA 33015,Homeowner,Issued,No,01-31-2027
CR23002690,"KENLAND WALK CONDOMINIUM IV, INC.",8827 SW 123RD CT MIAMI FL 33186,Condominium,Expired,Yes,01-31-2026
CR23002692,"LAKEWOOD ESTATES PATIO HOMES CONDOMINIUM ASSOCIATION, INC.",9680 SW 152 AVE MIAMI FLORIDA 33186,Condominium,Issued,No,01-31-2027
CR23002694,"THE TOWNHOMES OF TOWNGATE SOUTH HOMEOWNERS ASSOCIATION, INC.",11234 SW 117TH PLACE MIAMI FL 33186,Homeowner,Issued,No,01-31-2027
CR23002695,"VILLA ZAMORA CONDOMINIUM ASSOCIATION, INC.",3934 SW 8TH STREET. SUITE 303 CORAL GABLES FL 33134,Condominium,Issued,No,01-31-2027
CR23002697,"BRICKELL ON THE RIVER SOUTH TOWER CONDOMINIUM ASSOCIATION, INC.",41 SE 5TH ST MIAMI FL 33131,Condominium,Expired,Yes,01-31-2026
CR23002698,709 CURTISS PARKWAY CONDOMINIUM ASSOCIATION INC.,709 CURTISS PARKWAY MIAMI SPRINGS FL 33166,Condominium,Issued,No,01-31-2027
CR23002699,ALUNA CONDOMINIUM ASSOCIATION INC,320-330 86TH STREET MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002700,"L'AMBIANCE TOWNHOMES IN KENDALL CONDOMINIUM ASSOCIATION, INC.",12964 SW 133 CT MIAMI FLORIDA 33186,Condominium,Issued,No,01-31-2027
CR23002701,"TROPICAL PARK VILLAS CONDOMINIUM ASSOCIATION, INC.",3801-3817 SW 82ND AVE MIAMI FL 33155,Condominium,Issued,No,01-31-2027
CR23002704,1100 MILLECENTO RESIDENCES CONDO ASSN INC,"1100 SOUTH MIAMI AVENUE, SUITE 101 MIAMI FL 33130",Condominium,Issued,No,01-31-2027
CR23002706,"KENDALL GLENN CONDOMINIUM ASSOCIATION, INC.",7860 SW 86 ST MIAMI FLORIDA 33143,Homeowner,Issued,No,01-31-2027
CR23002707,"THE FAIRCHILD CONDOMINIUM ASSOCIATION, INC.","3581 EAST GLENCOE STREET, , 200 MIAMI FLORIDA 33133",Condominium,Issued,No,01-31-2027
CR23002710,"SHORE DRIVE CONDOMINIUM ASSOCIATION, INC.",75 SOUTH SHORE DR MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002713,"THE DECOPLAGE CONDOMINIUM ASSOCIATION, INC.",100 LINCOLN RD MIAMI BEACH FL 33139,Condominium,Expired,Yes,01-31-2026
CR23002714,"THE MIAMI SANDPIPER CONDOMINIUM ASSOCIATION, INC",3745 NE 171 STREET NORTH MIAMI BEACH FL 33160,Condominium,Issued,No,01-31-2027
CR23002715,"BONNE VIE MANAGEMENT ASSOCIATION, INC.",1670 LINCOLN COURT MIAMI FL 33129,Condominium,Issued,No,01-31-2027
CR23002716,"ARIA ON THE BAY CONDOMINIUM ASSOCIATION, INC.",488 NE 18 STREET MIAMI FL 33132,Condominium,Issued,No,01-31-2027
CR23002717,ECHO BRICKELL CONDO ASSN INC,"1451 BRICKELL AVENUE, SUITE 500 MIAMI FL 33131",Condominium,Issued,No,01-31-2027
CR23002718,"THE CROSSINGS VILLAGE HOMES CONDOMINIUM ASSOCIATION, INC.",12964 SW 133 COURT MIAMI FLORIDA 33186,Condominium,Issued,No,01-31-2027
CR23002719,"ONE PARAISO CONDOMINIUM ASSOCIATION, INC.",3131 NE 7TH AVE MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002720,"LAS CASCADAS HOMEOWNERS' ASSOCIATION, INC.",5502 NW 113 AVE. DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002722,"UNIVERSITY INN CONDOMINIUM ASSOCIATION, INC.",1280 SOUTH ALHAMBRA CIRCLE CORAL GABLES FLORIDA 33146,Condominium,Issued,No,01-31-2027
CR23002723,"ENCLAVE WATERSIDE VILLAS CONDOMINIUM ASSOCIATION, INC.",2160 - 2170 BAY DRIVE WEST MIAMI BEACH FL 33141,Condominium,Issued,No,01-31-2027
CR23002725,"3315 TOWER CONDOMINIUM ASSOCIATION, INC.",3315 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002726,"THE SANDERLING APARTMENTS CONDOMINIUM, INC.",3934 SW 8TH ST CORAL GABLES FL 33134,Condominium,Issued,No,01-31-2027
CR23002727,"1060 BRICKELL CONDOMINIUM ASSOCIATION, INC.",1060 BRICKELL AVENUE MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002728,"BRICKELLHOUSE CONDOMINIUM ASSOCIATION, INC.",1300 BRICKELL BAY DRIVE MIAMI FL 33131,Condominium,Issued,No,01-31-2027
CR23002729,BALMORAL ESTATES HOMEOWNERS ASSOCIATION,4397 NW 113 COURT DORAL FL 33178,Homeowner,Issued,No,01-31-2027
CR23002730,"1300 S MIAMI AVENUE CONDOMINIUM ASSOCIATION, INC.",1300 SOUTH MIAMI AVENUE MIAMI FL 33130,Condominium,Issued,No,01-31-2027
